GEO_ID,NAME,H002001,H002001ERR,H002002,H002003,H002004,H002005,H002006
1400000US24003740104,"Census Tract 7401.04, Anne Arundel County, Maryland",2910,null,2910,2910,0,0,0
1400000US24003740105,"Census Tract 7401.05, Anne Arundel County, Maryland",1304,null,1304,1304,0,0,0
1400000US24003740201,"Census Tract 7402.01, Anne Arundel County, Maryland",2845,null,2845,2845,0,0,0
1400000US24003740203,"Census Tract 7402.03, Anne Arundel County, Maryland",1875,null,1847,1847,0,28,0
1400000US24003740303,"Census Tract 7403.03, Anne Arundel County, Maryland",1531,null,1531,1531,0,0,0
1400000US24003740304,"Census Tract 7403.04, Anne Arundel County, Maryland",1664,null,1664,1664,0,0,0
1400000US24003740305,"Census Tract 7403.05, Anne Arundel County, Maryland",3970,null,3970,3970,0,0,0
1400000US24003740400,"Census Tract 7404, Anne Arundel County, Maryland",0,null,0,0,0,0,0
1400000US24003740500,"Census Tract 7405, Anne Arundel County, Maryland",4095,null,4076,4076,0,19,0
1400000US24003740601,"Census Tract 7406.01, Anne Arundel County, Maryland",1331,null,1331,1331,0,0,0
1400000US24003740602,"Census Tract 7406.02, Anne Arundel County, Maryland",1201,null,1201,1201,0,0,0
1400000US24003740603,"Census Tract 7406.03, Anne Arundel County, Maryland",208,null,199,199,0,9,0
1400000US24003740701,"Census Tract 7407.01, Anne Arundel County, Maryland",2847,null,2847,2847,0,0,0
1400000US24003740702,"Census Tract 7407.02, Anne Arundel County, Maryland",3961,null,3832,3832,0,129,0
1400000US24003740800,"Census Tract 7408, Anne Arundel County, Maryland",1689,null,1518,1518,0,171,0
1400000US24003740900,"Census Tract 7409, Anne Arundel County, Maryland",2554,null,2554,2554,0,0,0
1400000US24003741000,"Census Tract 7410, Anne Arundel County, Maryland",841,null,537,537,0,304,0
1400000US24003750101,"Census Tract 7501.01, Anne Arundel County, Maryland",1678,null,1678,1678,0,0,0
1400000US24003750102,"Census Tract 7501.02, Anne Arundel County, Maryland",931,null,931,931,0,0,0
1400000US24003750201,"Census Tract 7502.01, Anne Arundel County, Maryland",1070,null,1070,1070,0,0,0
1400000US24003750202,"Census Tract 7502.02, Anne Arundel County, Maryland",1317,null,1317,1317,0,0,0
1400000US24003750203,"Census Tract 7502.03, Anne Arundel County, Maryland",578,null,578,578,0,0,0
1400000US24003750300,"Census Tract 7503, Anne Arundel County, Maryland",1110,null,1110,1110,0,0,0
1400000US24003750400,"Census Tract 7504, Anne Arundel County, Maryland",1663,null,1663,1663,0,0,0
1400000US24003750801,"Census Tract 7508.01, Anne Arundel County, Maryland",2170,null,2170,2170,0,0,0
1400000US24003750803,"Census Tract 7508.03, Anne Arundel County, Maryland",2916,null,2916,2916,0,0,0
1400000US24003750804,"Census Tract 7508.04, Anne Arundel County, Maryland",1539,null,1539,1539,0,0,0
1400000US24003750900,"Census Tract 7509, Anne Arundel County, Maryland",1307,null,1307,1307,0,0,0
1400000US24003751000,"Census Tract 7510, Anne Arundel County, Maryland",1547,null,1547,1547,0,0,0
1400000US24003751102,"Census Tract 7511.02, Anne Arundel County, Maryland",1786,null,1786,1786,0,0,0
1400000US24003751103,"Census Tract 7511.03, Anne Arundel County, Maryland",2337,null,2337,2337,0,0,0
1400000US24003751200,"Census Tract 7512, Anne Arundel County, Maryland",1571,null,1571,1571,0,0,0
1400000US24003751400,"Census Tract 7514, Anne Arundel County, Maryland",1614,null,1614,1614,0,0,0
1400000US24003751500,"Census Tract 7515, Anne Arundel County, Maryland",2520,null,2483,2483,0,37,0
1400000US24003751600,"Census Tract 7516, Anne Arundel County, Maryland",2649,null,2374,2374,0,275,0
1400000US24003751700,"Census Tract 7517, Anne Arundel County, Maryland",1004,null,347,347,0,657,0
1400000US24003980000,"Census Tract 9800, Anne Arundel County, Maryland",3,null,3,3,0,0,0
1400000US24003990000,"Census Tract 9900, Anne Arundel County, Maryland",0,null,0,0,0,0,0
1400000US24005400100,"Census Tract 4001, Baltimore County, Maryland",2559,null,2559,2559,0,0,0
1400000US24005400200,"Census Tract 4002, Baltimore County, Maryland",1162,null,1162,1162,0,0,0
