OID_,Join_Count,TARGET_FID,JOIN_FID,FIPS,COUNTY,v023_rawvalue,OBJECTID,FIPS_1,State,County_1,Unemployed,FIPStext,Chg_Unempoyment,v058_rawvalue,Shape_length_1,Shape_area_1,Status,Score,Match_type,Match_addr,Addr_type,Facility_Name,Physical_Address,City,State_1,Zip_Code,Population,Construction,Capacity,Security_Level,Facility_Type,Shape_Length,Shape_Area,Chg_Assault,chpNotSchoolNotLabFor_e1018,Chg_Median_Income,Chg_Over15Percent,chpPopPovU18_e1018
32,0,31,-1,13269,Taylor County,6.537356322000000,133,13269,Georgia,Taylor,8,13269,-1,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,234464.957122498628451,1388019626.689186811447144,-1,-3.200000000000000,-1482.029999999998836,1.800047308367120,-9.500000000000000
33,0,32,-1,13293,Upson County,4.404008439000000,145,13293,Georgia,Upson,8,13293,-4,46.908260597000002,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,175900.902617297600955,1206368042.746302127838135,6,2.900000000000000,-1844.709999999999127,0.000103269742413,5.300000000000000
34,1,33,38,13035,Butts County,4.039463887000000,18,13035,Georgia,Butts,8,13035,-4,77.941238639000005,0.000000000000000,0.000000000000000,M,97.299999999999997,A,"2978 GA-36 W, Jackson, Georgia, 30233",StreetAddress,GA DIAGNOSTIC CLASS PRISON,2978 HWY 36 WEST PRISON BLVD,JACKSON,,30233,ADULT MALE FELONS,1968,2487,CLOSE/DEATH,STATE PRISON,148062.811822226591175,699437467.068574428558350,-41,3.100000000000000,-13903.829999999994470,1.899986331748047,17.500000000000000
35,0,34,-1,13171,Lamar County,4.557772850000000,85,13171,Georgia,Lamar,7,13171,-2,60.872413604999998,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,125511.063945728514227,688108466.617172479629517,41,3.700000000000000,5420.160000000003492,0.500023146272163,2.100000000000000
36,1,35,36,13207,Monroe County,3.672467990000000,102,13207,Georgia,Monroe,6,13207,-2,80.230093854000003,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"1000 Indian Springs Dr, Forsyth, Georgia, 31029",StreetAddress,BURRUSS CORRECTIONAL TRAINING CTR,1000 INDIAN SPRINGS DRIVE,FORSYTH,,31029,ADULT MALE FELONS,1986,806,MEDIUM,STATE PRISON,175778.647308756073471,1468426657.512114286422729,-11,8.600000000000000,3017.569999999999709,1.000885756617196,-3.600000000000000
37,0,36,-1,13231,Pike County,3.643216080000000,114,13231,Georgia,Pike,7,13231,-3,98.964687448000006,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,136350.523967811051989,811042750.370366573333740,-4,5.900000000000000,4814.530000000006112,1.700002116842049,0.600000000000000
38,1,37,8,13255,Spalding County,4.700360758000000,126,13255,Georgia,Spalding,9,13255,-4,41.619715012999997,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"295 Justice Blvd, Griffin, Georgia, 30224",StreetAddress,SPALDING COUNTY CI,295 JUSTICE BOULEVARD,GRIFFIN,,30224,ADULT MALE FELONS,2000,384,MEDIUM,CO. CORRECTIONAL INSTITUTION,153726.990992813691264,741852229.536537170410156,-84,17.000000000000000,61.000000000000000,0.000155403870172,2.300000000000000
39,1,38,7,13045,Carroll County,4.008450246000000,22,13045,Georgia,Carroll,7,13045,-3,41.825074416000000,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"96 Horsley Mill Rd, Carrollton, Georgia, 30117",StreetAddress,CARROLL COUNTY CI,96 HORSLEY MILL ROAD,CARROLLTON,,30117,ADULT MALE FELONS,1991,246,MEDIUM,CO. CORRECTIONAL INSTITUTION,211278.069718184182420,1884952717.261600732803345,478,-1.300000000000000,4981.790000000000873,8.382353748641252,5.600000000000000
40,1,39,6,13077,Coweta County,3.425617305000000,38,13077,Georgia,Coweta,6,13077,-3,32.932758389999996,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"101 Selt Rd, Newnan, Georgia, 30263",PointAddress,COWETA COUNTY CI,101 SELT ROAD,NEWNAN,,30263,ADULT MALE FELONS,1976,210,MEDIUM,CO. CORRECTIONAL INSTITUTION,209466.543364646087866,1659202196.120167732238770,-105,4.500000000000000,6550.500000000000000,5.395921701358962,0.700000000000000
41,0,40,-1,13217,Newton County,4.453456933000000,107,13217,Georgia,Newton,8,13217,-4,31.244122530999999,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,177171.932695331895957,1043671334.191724777221680,-4,0.300000000000000,-3131.589999999996508,4.753686500486605,9.100000000000000
