OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1190,Census Tract 202 - Location 11,696,11,1,,4.402557313,0.766372794,,,,,,0.010195763
1191,Census Tract 203 - Location 11,697,11,1,,7.181540518,1.512621655,,,,,,0.016083302
1192,Census Tract 301 - Location 11,698,11,1,,4.092651225,0.816814894,,,,,,0.0097303
1193,Census Tract 302 - Location 11,699,11,1,,4.660693863,1.21259723,,,,,,0.014163635
1194,Census Tract 401 - Location 2,700,2,1,,4.812092931,0.918555714,,,,,,0.010045254
1195,Census Tract 402 - Location 2,701,2,1,,2.475719678,0.428376105,,,,,,0.002234487
1196,Census Tract 601 - Location 11,702,11,1,,5.23733067,1.325852936,,,,,,0.018964625
1197,Census Tract 602 - Location 11,703,11,1,,4.270159848,1.045309985,,,,,,0.013745382
1198,Census Tract 603 - Location 11,704,11,1,,3.294145641,0.77921325,,,,,,0.009304261
1199,Census Tract 604 - Location 11,705,11,1,,2.087790413,0.428054329,,,,,,0.004536465
1200,Census Tract 701 - Location 11,706,11,1,,3.678024515,1.129936142,,,,,,0.01828532
1201,Census Tract 702 - Location 11,707,11,1,,4.33694661,1.11285056,,,,,,0.012702203
1202,Census Tract 703 - Location 11,708,11,1,,2.109804537,0.583514953,,,,,,0.007781657
1203,Census Tract 704 - Location 11,709,11,1,,1.744129801,0.285929033,,,,,,0.00172106
1204,Census Tract 801.01 - Location 11,710,11,1,,8.101658303,2.58388614,,,,,,0.027919478
1205,Census Tract 801.02 - Location 11,711,11,1,,6.575054512,1.890890928,,,,,,0.025555283
1206,Census Tract 802 - Location 11,712,11,1,,5.747541652,1.517350197,,,,,,0.017932032
1207,Census Tract 803.01 - Location 11,713,11,1,,4.551689901,1.204766357,,,,,,0.013590957
1208,Census Tract 803.02 - Location 11,714,11,1,,5.790089255,1.518797447,,,,,,0.018697853
1209,Census Tract 804 - Location 11,715,11,1,,3.875721876,0.983188739,,,,,,0.010251855
1210,Census Tract 805 - Location 11,716,11,1,,5.631242668,1.426530677,,,,,,0.015463444
1211,Census Tract 806 - Location 11,717,11,1,,3.553074148,0.974791259,,,,,,0.011723447
1212,Census Tract 807 - Location 11,718,11,1,,3.415456097,0.866768867,,,,,,0.008344452
1213,Census Tract 808 - Location 11,719,11,1,,2.749847901,0.568959337,,,,,,0.005040245
1214,Census Tract 901 - Location 11,720,11,1,,10.83426145,3.616786713,,,,,,0.039556871
1215,Census Tract 902 - Location 11,721,11,1,,8.596071066,2.944786243,,,,,,0.036352851
1216,Census Tract 903 - Location 11,722,11,1,,10.14523203,2.921695434,,,,,,0.033677398
1217,Census Tract 904 - Location 11,723,11,1,,7.271716867,2.191936752,,,,,,0.027279989
1218,Census Tract 905 - Location 11,724,11,1,,8.827240678,2.555758839,,,,,,0.026989689
1219,Census Tract 906 - Location 11,725,11,1,,7.46913111,2.189645079,,,,,,0.027023664
1220,Census Tract 907 - Location 11,726,11,1,,6.567886094,1.931621584,,,,,,0.022309831
1221,Census Tract 908 - Location 11,727,11,1,,5.962478537,1.61775789,,,,,,0.019580123
1222,Census Tract 909 - Location 11,728,11,1,,4.304639467,1.201549372,,,,,,0.013891515
1223,Census Tract 1001 - Location 11,729,11,1,,3.686821643,1.075797884,,,,,,0.011952569
1224,Census Tract 1002 - Location 11,730,11,1,,2.652223518,0.605506701,,,,,,0.008659696
1225,Census Tract 1003 - Location 11,731,11,1,,4.346001149,1.274683504,,,,,,0.015466576
1226,Census Tract 1101 - Location 11,732,11,1,,4.964613489,1.442861479,,,,,,0.019246715
1227,Census Tract 1102 - Location 11,733,11,1,,6.42444842,1.651155922,,,,,,0.02398532
1228,Census Tract 1201 - Location 11,734,11,1,,11.98117421,3.548658095,,,,,,0.044183148
1229,Census Tract 1202.01 - Location 11,735,11,1,,9.709374321,2.752764693,,,,,,0.034482307
1230,Census Tract 1202.02 - Location 11,736,11,1,,11.16975555,4.211522314,,,,,,0.03954016
1231,Census Tract 1203 - Location 11,737,11,1,,8.428455327,2.226974464,,,,,,0.02837658
1232,Census Tract 1204 - Location 11,738,11,1,,7.322452384,1.982923687,,,,,,0.024062692
1233,Census Tract 1205 - Location 11,739,11,1,,6.696285859,1.756080781,,,,,,0.022601327
1234,Census Tract 1206 - Location 11,740,11,1,,8.846139598,2.404756699,,,,,,0.030111693
1235,Census Tract 1207 - Location 11,741,11,1,,8.439326279,3.486550366,,,,,,0.035731913
1236,Census Tract 1301 - Location 11,742,11,1,,9.445164952,3.970556381,,,,,,0.04383267
1237,Census Tract 1302 - Location 11,743,11,1,,8.230285021,2.864297529,,,,,,0.039331958
1238,Census Tract 1303 - Location 17,744,17,1,,8.165357546,2.192081275,,,,,,0.02547002
1240,Census Tract 1304 - Location 17,745,17,1,,11.16814006,2.837829347,,,,,,0.034366914
1242,Census Tract 1306 - Location 11,746,11,1,,9.203345044,3.721469555,,,,,,0.04561128
1243,Census Tract 1307 - Location 11,747,11,1,,11.56077168,4.63134325,,,,,,0.053629598
1244,Census Tract 1308.03 - Location 11,748,11,1,,12.45869038,4.896760349,,,,,,0.064770417
1245,Census Tract 1308.04 - Location 11,749,11,1,,10.61300547,4.246168314,,,,,,0.055335487
1246,Census Tract 1308.05 - Location 11,750,11,1,,12.9018518,6.253941176,,,,,,0.079147464
1247,Census Tract 1308.06 - Location 17,751,17,1,,14.47833286,3.963755257,,,,,,0.048156645
1249,Census Tract 1401 - Location 2,752,2,1,,7.633388685,1.801403448,,,,,,0.01963374
1250,Census Tract 1402 - Location 2,753,2,1,,6.367498377,1.559905106,,,,,,0.017324373
1251,Census Tract 1403 - Location 2,754,2,1,,7.217898851,1.852261266,,,,,,0.022784855
1252,Census Tract 1501 - Location 17,755,17,1,,6.884485925,1.633410211,,,,,,0.019297511
1254,Census Tract 1502 - Location 17,756,17,1,,5.104767554,1.342165301,,,,,,0.018067767
1256,Census Tract 1503 - Location 17,757,17,1,,6.931578704,1.598145986,,,,,,0.019622863
1258,Census Tract 1504 - Location 17,758,17,1,,7.604646206,2.019438086,,,,,,0.024397071
1260,Census Tract 1505 - Location 17,759,17,1,,9.243045037,2.65046845,,,,,,0.033923183
1262,Census Tract 1506 - Location 17,760,17,1,,7.743759071,2.921132168,,,,,,0.028594083
1264,Census Tract 1507.01 - Location 17,761,17,1,,10.42854265,3.62283792,,,,,,0.035739127
1266,Census Tract 1507.02 - Location 17,762,17,1,,9.136514678,3.252490039,,,,,,0.030843381
1268,Census Tract 1508 - Location 17,763,17,1,,10.16827921,3.653566425,,,,,,0.041973506
